,Make,Model,Style,Fuel_type,Transmission
14772,Volkswagen,Rare,Universal,Metan/Propan,0
14773,Audi,A6,Sedan,Diesel,0
14774,Audi,A4,Sedan,Metan/Propan,0
14775,Volkswagen,Passat,Universal,Diesel,0
14776,Hyundai,Getz,Hatchback,Diesel,1
14777,Volkswagen,Polo,Sedan,Diesel,0
14778,Skoda,Rare,Crossover,Metan/Propan,0
14779,Opel,Astra,Sedan,Metan/Propan,0
14780,BMW,X3,Crossover,Petrol,1
14781,Volkswagen,Passat,Sedan,Petrol,0
14782,Volkswagen,Polo,Sedan,Petrol,0
14783,Lincoln,Rare,Sedan,Petrol,1
14784,Volkswagen,Tiguan,SUV,Petrol,0
14785,Nissan,Rare,Pickup,Diesel,0
14786,Volvo,XC90,SUV,Petrol,1
14787,BMW,X5,SUV,Metan/Propan,1
14788,Mercedes,Vito,Minivan,Diesel,0
14789,Hyundai,Tucson,SUV,Petrol,1
14790,Peugeot,307,Hatchback,Diesel,0
14791,Fiat,Rare,Hatchback,Petrol,0
14792,Dacia,Logan Mcv,Universal,Diesel,0
14793,BMW,X5,Crossover,Metan/Propan,1
14794,Ford,Fusion,Sedan,Hybrid,1
14795,Opel,Vectra,Sedan,Petrol,0
14796,Honda,CR-V,Crossover,Diesel,0
14797,Mercedes,E Class,Universal,Diesel,1
14798,Renault,Megane,Universal,Diesel,0
14799,Volkswagen,Caddy,Universal,Metan/Propan,0
14800,Renault,Megane,Hatchback,Diesel,0
14801,Dacia,Rare,Minivan,Diesel,0
14802,Dacia,Rare,Minivan,Diesel,0
14803,Skoda,Octavia,Hatchback,Metan/Propan,0
14804,Honda,CR-V,SUV,Petrol,1
14805,Volkswagen,Polo,Sedan,Petrol,0
14806,BMW,5 Series,Sedan,Diesel,1
14807,Audi,A6,Sedan,Petrol,0
14808,Volkswagen,Transporter,Minivan,Diesel,0
14809,Mercedes,M Class,SUV,Diesel,1
14810,Hyundai,Tucson,Coupe,Hybrid,1
14811,Ford,Mondeo,Universal,Diesel,0
14812,Peugeot,Rare,Sedan,Hybrid,1
14813,Hyundai,Santa FE,Crossover,Diesel,1
14814,Toyota,Yaris,Hatchback,Petrol,0
14815,Honda,CR-V,Minivan,Petrol,0
14816,Opel,Astra,Universal,Diesel,0
14817,Renault,Rare,Hatchback,Petrol,0
14818,Skoda,Rapid,Sedan,Petrol,1
14819,Lexus,CT Series,Hatchback,Hybrid,1
14820,Mercedes,E Class,Sedan,Diesel,1
14821,Volkswagen,Touran,Minivan,Petrol,0
14822,BMW,5 Series,Sedan,Petrol,1
14823,Volkswagen,Polo,Hatchback,Diesel,1
14824,Land Rover,Range Rover,SUV,Diesel,1
14825,Skoda,Rapid,Sedan,Petrol,0
14826,Audi,A6,Sedan,Petrol,1
14827,Mercedes,C Class,Sedan,Petrol,1
14828,Dacia,Sandero,Hatchback,Metan/Propan,0
14829,Land Rover,Range Rover,SUV,Diesel,1
14830,Mercedes,C Class,Sedan,Petrol,1
14831,Renault,Megane,Universal,Diesel,1
14832,BMW,5 Series,Sedan,Diesel,1
14833,Opel,Meriva,Hatchback,Diesel,0
14834,Volkswagen,Touran,Minivan,Petrol,0
14835,Opel,Astra,Universal,Diesel,0
14836,Audi,Q7,SUV,Petrol,1
14837,Mercedes,Vito,Minivan,Diesel,0
14838,Porsche,Rare,Hatchback,Diesel,1
14839,Mercedes,E Class,Sedan,Diesel,1
14840,Dacia,Logan Mcv,Universal,Diesel,0
14841,Nissan,Qashqai,Crossover,Diesel,0
14842,Volkswagen,Golf,Hatchback,Petrol,0
14843,Volkswagen,Golf,Coupe,Diesel,0
14844,Mercedes,Vito,Microvan,Diesel,0
14845,Ford,Fusion,Hatchback,Diesel,0
14846,Audi,Rare,Sedan,Petrol,1
14847,Lexus,RX Series,SUV,Metan/Propan,1
14848,BMW,5 Series,Sedan,Diesel,1
14849,Nissan,Qashqai,Crossover,Diesel,0
14850,Renault,Megane,Sedan,Petrol,0
14851,Toyota,Prius,Hatchback,Hybrid,1
14852,Audi,Q7,SUV,Diesel,1
14853,Lexus,RX Series,Crossover,Metan/Propan,1
14854,Hyundai,Getz,Hatchback,Diesel,0
14855,Chrysler,Rare,Minivan,Diesel,0
14856,Opel,Vectra,Sedan,Petrol,0
14857,Opel,Vectra,Hatchback,Petrol,0
14858,Volkswagen,Golf,Hatchback,Metan/Propan,1
14859,Volkswagen,Jetta,Sedan,Petrol,1
14860,Renault,Kangoo,Combi,Diesel,0
14861,Hyundai,Sonata,Sedan,Metan/Propan,0
14862,Audi,A8,Sedan,Diesel,1
14863,Seat,Ibiza,Universal,Diesel,0
14864,Toyota,Auris,Hatchback,Diesel,0
14865,KIA,Sorento,SUV,Diesel,0
14866,Dacia,Logan Mcv,Universal,Diesel,0
14867,Audi,A6,Sedan,Diesel,1
14868,Nissan,Qashqai+2,Crossover,Diesel,0
14869,Toyota,Rav 4,Crossover,Diesel,0
14870,Renault,Clio,Hatchback,Petrol,0
14871,Opel,Zafira,Minivan,Diesel,0
14872,Renault,Scenic,Universal,Diesel,0
14873,Infiniti,Rare,Sedan,Petrol,1
14874,Peugeot,Rare,Sedan,Petrol,1
14875,Citroen,C3,Hatchback,Diesel,0
14876,Chevrolet,Rare,Crossover,Diesel,1
14877,Dacia,Logan,Sedan,Petrol,0
14878,Honda,CR-V,SUV,Diesel,0
14879,Dacia,Logan,Sedan,Petrol,0
14880,Mitsubishi,Rare,SUV,Petrol,1
14881,Skoda,Superb,Sedan,Petrol,0
14882,Ford,Mondeo,Sedan,Petrol,0
14883,Toyota,Corolla,Hatchback,Diesel,0
14884,Volkswagen,Golf,Hatchback,Petrol,0
14885,Renault,Megane,Hatchback,Diesel,0
14886,Volvo,Rare,Sedan,Diesel,0
14887,Hyundai,Rare,Microvan,Diesel,0
14888,Nissan,Juke,SUV,Petrol,1
14889,Dacia,Logan Mcv,Universal,Metan/Propan,0
14890,Toyota,Prius,Sedan,Petrol,1
14891,Skoda,Superb,Sedan,Diesel,1
14892,Toyota,Auris,Hatchback,Hybrid,1
14893,Dacia,Logan,Universal,Metan/Propan,0
14894,BMW,Rare,Coupe,Diesel,1
14895,Renault,Laguna,Universal,Diesel,0
14896,Renault,Kadjar,Crossover,Diesel,1
14897,Mercedes,M Class,SUV,Diesel,1
14898,Honda,CR-V,Crossover,Metan/Propan,1
14899,Skoda,Superb,Sedan,Petrol,1
14900,Dacia,Rare,Minivan,Diesel,0
14901,Dacia,Rare,Combi,Diesel,0
14902,Seat,Rare,Hatchback,Petrol,0
14903,Opel,Corsa,Hatchback,Petrol,1
14904,Ford,Fiesta,Hatchback,Diesel,0
14905,Toyota,Auris,Hatchback,Diesel,0
14906,Dacia,Rare,Minivan,Diesel,0
14907,Chevrolet,Rare,Sedan,Petrol,0
14908,Toyota,Rav 4,SUV,Metan/Propan,1
14909,Toyota,Rav 4,Crossover,Metan/Propan,1
14910,Mazda,Rare,Crossover,Diesel,1
14911,Dacia,Lodgy,Universal,Diesel,0
14912,Lexus,IS Series,Sedan,Diesel,0
14913,Citroen,Berlingo,Microvan,Diesel,0
14914,Volkswagen,Touran,Minivan,Petrol,1
14915,Chevrolet,Rare,Hatchback,Petrol,0
14916,Mitsubishi,Rare,Minivan,Metan/Propan,0
14917,Ford,Focus,Sedan,Petrol,0
14918,Nissan,Rare,Sedan,Petrol,1
14919,Skoda,Octavia,Universal,Petrol,1
14920,Nissan,Rare,SUV,Diesel,0
14921,Dacia,Logan,Universal,Metan/Propan,0
14922,Toyota,Auris,Hatchback,Diesel,0
14923,Honda,CR-V,Crossover,Diesel,1
14924,Suzuki,Rare,Crossover,Petrol,1
14925,Dacia,Rare,Minivan,Metan/Propan,0
14926,Audi,Q7,Crossover,Petrol,1
14927,Toyota,Prius,Hatchback,Hybrid,1
14928,Skoda,Rare,Crossover,Petrol,1
14929,Honda,CR-V,Crossover,Metan/Propan,1
14930,Fiat,Rare,Minivan,Metan/Propan,0
14931,BMW,Rare,Universal,Diesel,0
14932,Mercedes,E Class,Sedan,Hybrid,1
14933,Nissan,Rare,Hatchback,Petrol,1
14934,Mercedes,E Class,Sedan,Hybrid,1
14935,Mercedes,E Class,Sedan,Hybrid,1
14936,Toyota,Corolla,Hatchback,Petrol,0
14937,Audi,A6,Sedan,Metan/Propan,1
14938,Skoda,Superb,Sedan,Diesel,1
14939,KIA,Optima,Sedan,Hybrid,1
14940,Toyota,Prius,Hatchback,Plug-in Hybrid,1
14941,Renault,Megane,Universal,Diesel,0
14942,Ford,Fusion,Sedan,Hybrid,1
14943,Dacia,Logan,Sedan,Diesel,0
14944,Dacia,Logan,Sedan,Metan/Propan,0
14945,Mercedes,Series (W124),Sedan,Petrol,0
14946,Chrysler,Rare,Sedan,Diesel,0
14947,Hyundai,Matrix,Hatchback,Petrol,0
14948,Mercedes,E Class,Sedan,Diesel,1
14949,Volkswagen,Caddy,Minivan,Diesel,0
14950,BMW,X5,Crossover,Petrol,1
14951,Toyota,Yaris,Sedan,Diesel,1
14952,Ford,Rare,Hatchback,Petrol,0
14953,Toyota,Prius,Hatchback,Hybrid,1
14954,Opel,Vectra,Sedan,Petrol,0
14955,Dacia,Logan,Sedan,Metan/Propan,0
14956,Honda,Civic,Sedan,Hybrid,1
14957,Dacia,Logan Mcv,Universal,Diesel,0
14958,Volkswagen,Golf,Hatchback,Petrol,1
14959,Nissan,Micra,Hatchback,Petrol,1
14960,Mercedes,B Class,Hatchback,Petrol,1
14961,Toyota,Rare,Hatchback,Diesel,0
14962,Mitsubishi,Galant,Sedan,Metan/Propan,1
14963,Mitsubishi,Rare,Pickup,Diesel,1
14964,Toyota,Prius,Hatchback,Hybrid,1
14965,KIA,Sorento,SUV,Diesel,1
14966,Hyundai,Getz,Hatchback,Petrol,1
14967,Toyota,Auris,Hatchback,Hybrid,1
14968,Renault,Rare,Hatchback,Diesel,0
14969,Hyundai,Tucson,Crossover,Petrol,0
14970,Mercedes,E Class,Sedan,Diesel,1
14971,Vaz,Rare,Sedan,Petrol,0
14972,Volkswagen,Passat,Sedan,Petrol,0
14973,Dacia,Logan,Sedan,Petrol,0
14974,Toyota,Land Cruiser Prado,Crossover,Diesel,1
14975,Mercedes,E Class,Sedan,Diesel,1
14976,Dacia,Lodgy,Universal,Diesel,0
14977,Nissan,Rare,Hatchback,Diesel,0
14978,Citroen,Rare,Universal,Petrol,0
14979,Renault,Megane,Universal,Diesel,0
14980,Dacia,Lodgy,Microvan,Diesel,0
14981,Renault,Laguna,Hatchback,Diesel,0
14982,Mazda,6,Universal,Diesel,0
14983,Citroen,Rare,Minivan,Diesel,1
14984,Volkswagen,Sharan,Minivan,Diesel,0
14985,Hyundai,Sonata,Sedan,Metan/Propan,0
14986,Nissan,Qashqai,Crossover,Diesel,0
14987,Volkswagen,Passat,Sedan,Diesel,0
14988,Toyota,Corolla Verso,Minivan,Diesel,0
14989,Toyota,Urban Cruiser,Microvan,Diesel,0
14990,Mercedes,M Class,Crossover,Diesel,1
14991,BMW,5 Series,Sedan,Diesel,1
14992,Skoda,Octavia,Sedan,Petrol,0
14993,Mini,Rare,Hatchback,Diesel,0
14994,Skoda,Octavia,Sedan,Metan/Propan,0
14995,Skoda,Fabia,Hatchback,Diesel,0
14996,Honda,Civic,Sedan,Hybrid,1
14997,Renault,Megane,Sedan,Diesel,0
14998,Ford,Focus,Universal,Diesel,1
14999,Skoda,Superb,Hatchback,Petrol,1
15000,Ford,Focus,Universal,Diesel,0
15001,Dacia,Logan,Sedan,Petrol,0
15002,Dacia,Rare,Minivan,Petrol,0
15003,Renault,Talisman,Universal,Diesel,1
15004,Suzuki,Rare,Crossover,Metan/Propan,0
15005,Renault,Megane,Sedan,Diesel,1
15006,Toyota,Rav 4,Crossover,Petrol,1
15007,KIA,Sportage,Crossover,Petrol,1
15008,Skoda,Rapid,Hatchback,Petrol,0
15009,Lexus,NX Series,Crossover,Hybrid,1
15010,Ford,Mondeo,Universal,Diesel,0
15011,Nissan,Qashqai,Crossover,Diesel,0
15012,Mercedes,S Class,Sedan,Petrol,1
15013,Land Rover,Range Rover Sport,SUV,Diesel,1
15014,Jaguar,Rare,Coupe,Petrol,1
15015,Toyota,Avalon,Sedan,Hybrid,1
15016,Infiniti,Rare,Coupe,Petrol,1
15017,Mazda,6,Sedan,Metan/Propan,1
15018,Mercedes,M Class,SUV,Diesel,1
15019,Skoda,Octavia,Universal,Diesel,1
15020,Toyota,Camry,Sedan,Metan/Propan,0
15021,Toyota,Camry,Sedan,Hybrid,1
15022,Nissan,Qashqai,Crossover,Diesel,0
15023,Volkswagen,Passat,Sedan,Petrol,1
15024,Mitsubishi,Rare,SUV,Metan/Propan,1
15025,Skoda,Octavia,Universal,Diesel,0
15026,BMW,3 Series,Sedan,Diesel,0
15027,BMW,5 Series,Sedan,Diesel,1
15028,Honda,CR-V,Crossover,Diesel,0
15029,Mercedes,E Class,Sedan,Diesel,1
15030,Toyota,Camry,Sedan,Hybrid,1
15031,Skoda,Octavia,Universal,Diesel,1
15032,Dodge,Rare,Crossover,Diesel,1
15033,Mercedes,E Class,Sedan,Diesel,0
15034,Toyota,Rare,SUV,Metan/Propan,0
15035,Lexus,RX Series,Microvan,Electric,1
15036,Audi,Q5,Crossover,Petrol,1
15037,Volkswagen,Rare,Pickup,Diesel,0
15038,Nissan,Rare,SUV,Diesel,0
15039,Mercedes,E Class,Sedan,Diesel,1
15040,Land Rover,Range Rover Sport,SUV,Petrol,1
15041,BMW,X5,SUV,Petrol,1
15042,Toyota,Rav 4,Crossover,Hybrid,1
15043,Mercedes,Rare,SUV,Diesel,1
15044,Toyota,Rav 4,Crossover,Petrol,1
15045,Opel,Meriva,Minivan,Diesel,0
15046,Mazda,6,Sedan,Petrol,1
15047,Hyundai,Tucson,Crossover,Petrol,1
15048,Lexus,NX Series,SUV,Hybrid,1
15049,Skoda,Superb,Sedan,Diesel,1
15050,Toyota,Avensis,Sedan,Diesel,0
15051,Toyota,Rare,Hatchback,Metan/Propan,1
15052,Hyundai,Santa FE,SUV,Diesel,1
15053,Audi,A8,Sedan,Petrol,1
15054,Volvo,Rare,Sedan,Diesel,1
15055,Porsche,Cayenne,Crossover,Diesel,1
15056,Volvo,XC60,Crossover,Diesel,1
15057,Land Rover,Range Rover,SUV,Diesel,1
15058,Audi,Q5,Crossover,Diesel,1
15059,Volvo,Rare,Universal,Diesel,1
15060,Mercedes,GLE,Crossover,Diesel,1
15061,Toyota,Camry,Sedan,Hybrid,1
15062,Mercedes,E Class,Sedan,Metan/Propan,1
15063,Lexus,RX Series,Crossover,Hybrid,1
15064,Toyota,Camry,Sedan,Petrol,1
15065,BMW,7 Series,Sedan,Diesel,1
15066,Mercedes,Rare,SUV,Diesel,1
15067,Audi,Q7,SUV,Metan/Propan,1
15068,Volkswagen,Rare,Sedan,Diesel,1
15069,Porsche,Cayenne,SUV,Hybrid,1
15070,Skoda,Fabia,Combi,Petrol,0
15071,Skoda,Superb,Sedan,Petrol,1
15072,Mercedes,S Class,Sedan,Petrol,1
15073,Toyota,Land Cruiser,SUV,Diesel,1
15074,Lexus,Es Series,Sedan,Hybrid,1
15075,BMW,X5,Crossover,Diesel,1
15076,Land Rover,Rare,SUV,Diesel,1
15077,Toyota,Avalon,Sedan,Hybrid,1
15078,Porsche,Cayenne,Crossover,Diesel,1
15079,Lexus,RX Series,Crossover,Hybrid,1
15080,Mercedes,Rare,SUV,Diesel,1
15081,Lexus,Rare,SUV,Petrol,1
15082,Mercedes,C Class,Sedan,Petrol,0
15083,Fiat,Rare,Minivan,Diesel,0
15084,Skoda,Rare,Crossover,Diesel,1
15085,Opel,Astra,Universal,Diesel,0
15086,Honda,CR-V,SUV,Metan/Propan,1
15087,Ford,Focus,Universal,Diesel,0
15088,Volkswagen,Touran,Minivan,Metan/Propan,0
15089,Volkswagen,Passat,Sedan,Petrol,1
15090,Nissan,Qashqai,Crossover,Diesel,0
15091,Toyota,Rav 4,SUV,Diesel,0
15092,Lexus,RX Series,Crossover,Metan/Propan,1
15093,Toyota,Avensis,Sedan,Petrol,0
15094,Renault,Megane,Hatchback,Diesel,0
15095,Ford,Mondeo,Hatchback,Diesel,0
15096,Toyota,Rav 4,Crossover,Hybrid,1
15097,Renault,Laguna,Hatchback,Metan/Propan,0
15098,Toyota,Corolla,Hatchback,Diesel,0
15099,Toyota,Corolla,Hatchback,Diesel,0
15100,Opel,Insignia,Universal,Diesel,0
15101,Peugeot,Rare,Sedan,Diesel,1
15102,Toyota,Auris,Hatchback,Diesel,1
15103,Toyota,Auris,Hatchback,Hybrid,1
15104,Dacia,Logan Mcv,Minivan,Diesel,0
15105,Volkswagen,Passat,Universal,Petrol,0
15106,Volkswagen,Passat,Universal,Plug-in Hybrid,1
15107,GAZ,Rare,Sedan,Petrol,0
15108,Toyota,Camry,Sedan,Metan/Propan,1
15109,Toyota,C-HR,SUV,Hybrid,1
15110,Honda,CR-V,SUV,Diesel,1
15111,Toyota,Auris,Hatchback,Diesel,0
15112,Skoda,Octavia,Minivan,Petrol,0
15113,Toyota,Yaris,Sedan,Petrol,1
15114,Honda,Rare,Sedan,Hybrid,1
15115,Toyota,Rav 4,Crossover,Hybrid,1
15116,Skoda,Octavia,Hatchback,Diesel,1
15117,Honda,Rare,Sedan,Plug-in Hybrid,1
15118,Volkswagen,Transporter,Universal,Diesel,0
15119,Mercedes,GLE,SUV,Diesel,1
15120,Volkswagen,Touran,Minivan,Petrol,0
15121,Mercedes,E Class,Sedan,Diesel,1
15122,Nissan,Primera,Universal,Diesel,0
15123,Mercedes,S Class,Sedan,Hybrid,1
15124,Mercedes,Rare,Universal,Diesel,1
15125,Toyota,Prius,Hatchback,Hybrid,1
15126,Renault,Megane,Universal,Diesel,0
15127,Toyota,Prius,Hatchback,Hybrid,1
15128,Renault,Laguna,Universal,Diesel,0
15129,Skoda,Octavia,Universal,Petrol,0
15130,Audi,Q5,Crossover,Hybrid,1
15131,Hyundai,Santa FE,SUV,Petrol,1
15132,Nissan,Qashqai,Universal,Diesel,0
15133,Ford,Fusion,Hatchback,Petrol,0
15134,Skoda,Fabia,Universal,Diesel,0
15135,Dacia,Logan Mcv,Universal,Petrol,0
15136,Audi,A4,Universal,Diesel,1
15137,Hyundai,Tucson,Crossover,Diesel,1
15138,Chevrolet,Rare,Crossover,Diesel,1
15139,Citroen,Rare,Minivan,Diesel,0
15140,Toyota,Corolla,Hatchback,Petrol,0
15141,Hyundai,Getz,Hatchback,Metan/Propan,0
15142,Honda,Civic,Universal,Diesel,0
15143,Nissan,Almera,Hatchback,Petrol,0
15144,Skoda,Octavia,Universal,Petrol,1
15145,Vaz,Rare,Sedan,Petrol,0
15146,Volkswagen,Vento,Sedan,Metan/Propan,1
15147,Toyota,Auris,Hatchback,Diesel,0
15148,Mercedes,Rare,Universal,Diesel,1
15149,Dacia,Logan,Combi,Petrol,0
15150,Toyota,Auris,Hatchback,Diesel,0
15151,Ford,Fusion,Hatchback,Diesel,0
15152,BMW,5 Series,Sedan,Diesel,1
15153,Opel,Astra,Sedan,Petrol,0
15154,Mitsubishi,Rare,Coupe,Petrol,1
15155,Ford,Focus,Universal,Diesel,0
15156,Renault,Scenic,Microvan,Diesel,0
15157,Skoda,Octavia,Crossover,Petrol,0
15158,Vaz,Rare,Hatchback,Petrol,0
15159,Opel,Corsa,Hatchback,Diesel,0
15160,Mercedes,E Class,Sedan,Diesel,1
15161,Renault,Megane,Minivan,Diesel,0
15162,Hyundai,Santa FE,Crossover,Diesel,1
15163,Volkswagen,Golf,Universal,Petrol,0
15164,Volkswagen,Golf,Universal,Petrol,0
15165,Renault,Megane,Universal,Diesel,0
15166,Mercedes,GLE,Crossover,Petrol,1
15167,Volkswagen,Jetta,Sedan,Hybrid,1
15168,BMW,5 Series,Sedan,Diesel,0
15169,Nissan,Primera,Universal,Petrol,0
15170,Suzuki,Rare,Crossover,Petrol,0
15171,Mercedes,C Class,Sedan,Petrol,1
15172,Suzuki,Rare,Sedan,Petrol,0
15173,Mercedes,E Class,Sedan,Electric,1
15174,Toyota,Auris,Sedan,Hybrid,1
15175,Hyundai,Santa FE,SUV,Diesel,1
15176,Renault,Grand Scenic,Universal,Diesel,0
15177,Opel,Astra,Universal,Metan/Propan,0
15178,Mercedes,S Class,Sedan,Petrol,0
15179,Dacia,Logan,Sedan,Metan/Propan,0
15180,Mercedes,M Class,SUV,Diesel,1
15181,Dacia,Rare,Universal,Petrol,0
15182,Volvo,Rare,Sedan,Petrol,1
15183,Ford,Fiesta,Hatchback,Petrol,0
15184,Volvo,Rare,Crossover,Petrol,1
15185,BMW,Rare,Cabriolet,Metan/Propan,0
15186,Lexus,Es Series,Sedan,Hybrid,1
15187,Toyota,Avensis,Universal,Diesel,0
15188,Mitsubishi,Rare,Universal,Metan/Propan,0
15189,Toyota,Rav 4,Crossover,Diesel,0
15190,Dacia,Logan,Sedan,Petrol,0
15191,Toyota,Auris,Hatchback,Diesel,0
15192,Mercedes,GLE,SUV,Diesel,1
15193,Toyota,Rare,Hatchback,Diesel,0
15194,Renault,Megane,Universal,Diesel,1
15195,Ford,Fusion,Universal,Petrol,0
15196,Mercedes,E Class,Sedan,Diesel,1
15197,Volkswagen,Touran,Microvan,Petrol,0
15198,Volkswagen,Tiguan,Crossover,Petrol,1
15199,Mercedes,Series (W124),Sedan,Metan/Propan,0
15200,Lexus,Es Series,Sedan,Metan/Propan,1
15201,Dacia,Logan,Universal,Diesel,0
15202,Nissan,X-Trail,SUV,Metan/Propan,1
15203,Dacia,Logan Mcv,Universal,Diesel,0
15204,Nissan,Rare,Hatchback,Diesel,0
15205,Ford,Rare,SUV,Petrol,1
15206,Chevrolet,Altele,Minivan,Diesel,0
15207,Toyota,Corolla,Sedan,Diesel,1
15208,BMW,5 Series,Sedan,Petrol,1
15209,Renault,Megane,Universal,Diesel,1
15210,Toyota,Avensis,Universal,Diesel,0
15211,Ford,Rare,Pickup,Diesel,0
15212,Renault,Megane,Universal,Petrol,1
15213,Dacia,Logan,Sedan,Metan/Propan,0
15214,Mercedes,Vito,Universal,Diesel,0
15215,Hyundai,Tucson,Crossover,Diesel,1
15216,Nissan,Almera,Hatchback,Petrol,0
15217,BMW,5 Series,Sedan,Petrol,0
15218,Toyota,Corolla,Sedan,Metan/Propan,0
15219,Mercedes,M Class,SUV,Diesel,1
15220,Alfa Romeo,Rare,Crossover,Petrol,1
15221,Skoda,Superb,Sedan,Petrol,0
15222,BMW,5 Series,Sedan,Diesel,1
15223,Volkswagen,Passat,Universal,Diesel,0
15224,Skoda,Fabia,Universal,Diesel,0
15225,Nissan,Qashqai,Crossover,Diesel,0
15226,BMW,X5,Crossover,Metan/Propan,1
15227,Seat,Rare,Hatchback,Metan/Propan,0
15228,Dacia,Duster,Crossover,Diesel,0
15229,Hyundai,Rare,Minivan,Diesel,0
15230,Nissan,Micra,Hatchback,Diesel,0
15231,BMW,5 Series,Hatchback,Metan/Propan,0
15232,Citroen,Rare,Hatchback,Metan/Propan,0
15233,BMW,5 Series,Sedan,Petrol,0
15234,Hyundai,Tucson,Crossover,Petrol,1
15235,Volkswagen,Passat,Universal,Diesel,0
15236,Toyota,Camry,Sedan,Metan/Propan,1
15237,Opel,Zafira,Universal,Diesel,0
15238,Nissan,Qashqai,Crossover,Diesel,0
15239,Opel,Rare,SUV,Diesel,0
15240,KIA,Optima,Sedan,Metan/Propan,1
15241,Toyota,Auris,Hatchback,Diesel,0
15242,Volkswagen,Caddy,Minivan,Diesel,0
15243,Renault,Grand Scenic,Microvan,Diesel,0
15244,Renault,Grand Scenic,Minivan,Diesel,0
15245,Toyota,Prius,Universal,Hybrid,1
15246,Mercedes,E Class,Sedan,Petrol,1
15247,Toyota,Urban Cruiser,Hatchback,Diesel,0
15248,Ford,Rare,Minivan,Diesel,0
15249,Hyundai,Tucson,Crossover,Petrol,1
15250,Nissan,Rare,SUV,Diesel,0
15251,Audi,Q7,Crossover,Diesel,1
15252,Citroen,Rare,Sedan,Metan/Propan,0
15253,Nissan,Qashqai,Crossover,Diesel,0
15254,Mercedes,C Class,Sedan,Diesel,1
15255,Toyota,Matrix,Crossover,Petrol,1
15256,BMW,5 Series,Sedan,Diesel,0
15257,BMW,3 Series,Sedan,Petrol,0
15258,Mercedes,M Class,Crossover,Diesel,1
15259,Honda,Accord,Sedan,Metan/Propan,0
15260,Volkswagen,Jetta,Sedan,Petrol,0
15261,Hyundai,Tucson,Crossover,Metan/Propan,1
15262,Rare,Rare,Hatchback,Diesel,1
15263,Seat,Rare,Minivan,Diesel,0
15264,Seat,Ibiza,Combi,Diesel,0
15265,Skoda,Octavia,Universal,Petrol,0
15266,Volkswagen,Passat CC,Sedan,Petrol,0
15267,BMW,5 Series,Sedan,Diesel,1
15268,Dacia,Rare,Minivan,Diesel,0
15269,Daewoo,Rare,Sedan,Metan/Propan,0
15270,Mercedes,Rare,Universal,Diesel,0
15271,Volkswagen,Touran,Minivan,Petrol,0
15272,Ford,Fusion,Sedan,Hybrid,1
15273,Opel,Combo,Combi,Diesel,0
15274,Renault,Megane,Universal,Diesel,0
15275,Jaguar,Rare,Sedan,Petrol,1
15276,BMW,X6,Crossover,Diesel,1
15277,Audi,A6,Universal,Petrol,0
15278,Mercedes,Vito,Minivan,Diesel,0
15279,Mazda,Rare,Minivan,Petrol,0
15280,Opel,Zafira,Microvan,Diesel,0
15281,Mazda,3,Sedan,Petrol,0
15282,Ford,Focus,Universal,Petrol,0
15283,Dodge,Rare,Minivan,Metan/Propan,1
15284,BMW,5 Series,Sedan,Petrol,0
15285,Honda,CR-V,SUV,Metan/Propan,1
15286,Audi,100,Sedan,Petrol,0
15287,Skoda,Superb,Sedan,Diesel,1
15288,BMW,3 Series,Coupe,Petrol,1
15289,Volkswagen,Golf,Hatchback,Petrol,0
15290,Toyota,Avensis Verso,Minivan,Diesel,0
15291,Toyota,Urban Cruiser,Crossover,Petrol,0
15292,Hyundai,ix35,SUV,Petrol,1
15293,Volkswagen,Passat,Universal,Diesel,0
15294,BMW,5 Series,Sedan,Diesel,1
15295,Volkswagen,Passat,Universal,Metan/Propan,1
15296,BMW,5 Series,Sedan,Diesel,0
15297,Volvo,XC60,Crossover,Diesel,1
15298,Volkswagen,Rare,Sedan,Diesel,1
15299,UAZ,Altele,Pickup,Petrol,0
15300,Honda,CR-V,Crossover,Diesel,1
15301,Renault,Rare,Universal,Petrol,1
15302,Ford,Focus,Sedan,Petrol,0
15303,Jaguar,Rare,Sedan,Petrol,1
15304,Nissan,Qashqai,Crossover,Diesel,0
15305,Renault,Laguna,Universal,Diesel,0
15306,Opel,Astra,Universal,Diesel,0
15307,KIA,Sorento,Crossover,Diesel,0
15308,KIA,Rare,Minivan,Diesel,1
15309,Nissan,Almera,Sedan,Petrol,0
15310,Alfa Romeo,Rare,SUV,Petrol,1
15311,Mercedes,S Class,Sedan,Diesel,1
15312,Chevrolet,Rare,SUV,Petrol,0
15313,Opel,Rare,Hatchback,Plug-in Hybrid,1
15314,Opel,Vectra,Hatchback,Petrol,0
15315,Audi,Q7,SUV,Diesel,1
15316,Ford,Rare,Sedan,Petrol,1
15317,Mercedes,S Class,Sedan,Diesel,1
15318,Dacia,Logan Mcv,Universal,Metan/Propan,0
15319,Skoda,Superb,Sedan,Petrol,0
15320,BMW,5 Series,Universal,Diesel,1
15321,Opel,Astra,Universal,Metan/Propan,0
15322,Citroen,C3,Hatchback,Diesel,0
15323,Volkswagen,Golf,Universal,Petrol,0
15324,Ford,Fusion,Sedan,Petrol,1
15325,Dodge,Rare,Crossover,Metan/Propan,0
15326,Skoda,Fabia,Hatchback,Petrol,0
15327,Opel,Astra,Hatchback,Diesel,0
15328,Dodge,Rare,Crossover,Metan/Propan,0
