,Make,Model,Style,Fuel_type,Transmission
285,Volkswagen,Polo,Hatchback,Petrol,0
286,Toyota,Camry,Sedan,Petrol,1
287,Audi,A4,Sedan,Petrol,1
288,Hyundai,ix35,Crossover,Petrol,1
289,Mercedes,E Class,Sedan,Diesel,0
290,Renault,Kadjar,Crossover,Diesel,1
291,Opel,Astra,Hatchback,Diesel,0
292,Volkswagen,Transporter,Minivan,Diesel,0
293,Honda,Accord,Sedan,Petrol,0
294,Skoda,Superb,Sedan,Diesel,1
295,Lexus,GS Series,Sedan,Petrol,1
296,Renault,Megane,Universal,Diesel,0
297,Skoda,Octavia,Universal,Diesel,1
298,Opel,Astra,Hatchback,Petrol,1
299,Toyota,Auris,Universal,Metan/Propan,1
300,Toyota,Camry,Sedan,Metan/Propan,1
301,Renault,Grand Scenic,Universal,Diesel,0
302,Renault,Kadjar,SUV,Diesel,1
303,Volvo,XC90,SUV,Diesel,1
304,Volkswagen,Golf,Hatchback,Petrol,1
305,Lexus,CT Series,Hatchback,Hybrid,1
306,Mazda,Rare,Hatchback,Diesel,0
307,BMW,X5,Crossover,Hybrid,1
308,Skoda,Octavia,Universal,Petrol,1
309,Fiat,Rare,Combi,Diesel,0
310,Audi,A8,Sedan,Diesel,1
311,Mercedes,B Class,Microvan,Metan/Propan,1
312,Dacia,Duster,Crossover,Diesel,0
313,Mercedes,E Class,Sedan,Diesel,1
314,Skoda,Superb,Sedan,Diesel,1
315,Renault,Grand Scenic,Minivan,Diesel,1
316,Mini,Rare,Hatchback,Petrol,1
317,Toyota,Avensis Verso,Minivan,Diesel,0
318,Land Rover,Freelander,SUV,Metan/Propan,0
319,Opel,Astra,Universal,Diesel,0
320,Volkswagen,Polo,Hatchback,Petrol,0
321,Audi,A6,Universal,Diesel,1
322,Vaz,Altele,Universal,Metan/Propan,0
323,Mercedes,Rare,SUV,Diesel,1
324,Hyundai,Rare,Hatchback,Petrol,0
325,Skoda,Octavia,Hatchback,Diesel,1
326,Renault,Grand Scenic,Minivan,Diesel,1
327,Mercedes,Vito,Minivan,Diesel,0
328,Audi,A6,Universal,Petrol,1
329,Dacia,Logan,Sedan,Metan/Propan,0
330,Toyota,Urban Cruiser,Sedan,Diesel,0
331,Volkswagen,Rare,Sedan,Diesel,1
332,Toyota,Rare,Hatchback,Petrol,1
333,Renault,Scenic,Microvan,Diesel,0
334,Toyota,Land Cruiser Prado,SUV,Metan/Propan,1
335,Skoda,Superb,Sedan,Diesel,1
336,Opel,Corsa,Hatchback,Diesel,0
337,Volkswagen,Tiguan,SUV,Petrol,0
338,Skoda,Fabia,Hatchback,Petrol,0
339,BMW,7 Series,Sedan,Diesel,1
340,Rover,Rare,Sedan,Diesel,0
341,Fiat,Rare,Universal,Metan/Propan,0
342,Dacia,Duster,Crossover,Diesel,0
343,Skoda,Superb,Sedan,Petrol,0
344,Volkswagen,Passat,Universal,Diesel,0
345,Skoda,Rapid,Sedan,Diesel,0
346,Nissan,Qashqai+2,Microvan,Diesel,0
347,Ford,Fusion,Sedan,Plug-in Hybrid,1
348,Ford,Focus,Universal,Diesel,0
349,Mercedes,E Class,Sedan,Metan/Propan,1
350,Mercedes,E Class,Sedan,Metan/Propan,1
351,Dacia,Sandero,Hatchback,Petrol,0
352,Toyota,Prius,Universal,Hybrid,1
353,Toyota,Auris,Universal,Hybrid,1
354,Hyundai,Getz,Hatchback,Petrol,0
355,Volvo,Rare,Hatchback,Petrol,1
356,Mercedes,M Class,Crossover,Diesel,1
