,Year,Distance,Engine_capacity(cm3),Price(euro)
292,2010,203000.0,2000.0,8250.0
293,1996,325000.0,1997.0,2200.0
294,2014,202300.0,1598.0,13199.0
295,2005,230000.0,4300.0,10000.0
296,2012,162200.0,1461.0,5899.0
297,2018,146600.0,1600.0,12700.0
298,2010,97000.0,1598.0,7700.0
299,2014,191000.0,1800.0,9700.0
300,2018,60000.0,2500.0,20000.0
301,2013,190000.0,1500.0,8500.0
302,2015,184000.0,1500.0,10999.0
303,2006,294000.0,2400.0,8500.0
304,2010,164000.0,1400.0,7650.0
305,2011,122841.0,1800.0,11600.0
306,2008,172000.0,1399.0,4999.0
307,2017,100000.0,2000.0,37000.0
308,2009,235000.0,1400.0,6200.0
309,2012,256000.0,1300.0,4490.0
310,2004,314000.0,3000.0,5650.0
311,2014,194000.0,1991.0,10000.0
312,2012,67000.0,1500.0,7200.0
313,2002,11111.0,3200.0,5200.0
314,2016,180000.0,2000.0,17450.0
315,2017,135000.0,1462.0,15850.0
316,2015,84000.0,1600.0,10900.0
317,2002,280000.0,2000.0,3150.0
318,2001,230000.0,1900.0,3500.0
319,2011,200123.0,2000.0,8200.0
320,2000,264000.0,1400.0,2500.0
321,2018,101000.0,2000.0,26000.0
322,2008,92424.0,1600.0,3399.0
323,2007,230000.0,2999.0,19500.0
324,2013,122000.0,1385.0,4800.0
325,2007,335165.0,1986.0,6750.0
326,2017,175000.0,1462.0,16000.0
327,2010,220000.0,2200.0,7500.0
328,2009,148000.0,2995.0,13000.0
329,2011,230000.0,1200.0,2800.0
330,2011,192000.0,1400.0,6800.0
331,2005,257000.0,3000.0,9000.0
332,2007,72000.0,1000.0,4400.0
333,2012,240000.0,1500.0,6800.0
334,2006,205000.0,2700.0,14800.0
335,2017,176000.0,2000.0,19450.0
336,2006,164274.0,1300.0,2999.0
337,2008,179000.0,1400.0,7200.0
338,2002,230000.0,1400.0,950.0
339,2016,125000.0,2993.0,52500.0
340,2001,278000.0,2000.0,2650.0
341,2004,200000.0,1600.0,3000.0
342,2011,202176.0,1500.0,6900.0
343,2009,265000.0,1800.0,5950.0
344,2011,244000.0,1600.0,9600.0
345,2016,188000.0,1422.0,7750.0
346,2011,207000.0,1500.0,7800.0
347,2018,33339.0,2000.0,20800.0
348,2017,160000.0,1500.0,7200.0
349,2008,230000.0,1800.0,7700.0
350,2000,303000.0,2000.0,3800.0
351,2012,111896.0,1200.0,3499.0
352,2012,165000.0,1800.0,9200.0
353,2015,169265.0,1800.0,12650.0
354,2007,172316.0,1400.0,2800.0
355,2016,184500.0,1500.0,15499.0
356,2013,122000.0,3500.0,34000.0
357,2017,127000.0,2000.0,21990.0
358,2007,193000.0,1988.0,7600.0
359,1996,256000.0,1800.0,2300.0
360,2013,162000.0,2400.0,15000.0
361,2019,26000.0,1400.0,12990.0
362,2007,220000.0,1600.0,6500.0
363,2012,199000.0,2000.0,11800.0
364,2014,216000.0,1600.0,10700.0
365,2013,188000.0,1400.0,8800.0
366,2012,212700.0,1200.0,5450.0
367,2005,270000.0,1800.0,3500.0
368,2013,60000.0,2000.0,12700.0
369,2005,178000.0,2989.0,9800.0
370,2011,90000.0,2200.0,13300.0
371,2014,143000.0,2000.0,11700.0
372,2017,47000.0,3000.0,54000.0
373,2008,230000.0,1800.0,7800.0
374,2007,194777.0,2000.0,5000.0
375,2008,200000.0,1900.0,5000.0
376,2016,144000.0,1800.0,12300.0
