,Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),km_year
55,52,4,2004,6,12000.0,1700.0,4,0,1800.0,666.6666666666666
56,4,9,1998,10,11111.0,2500.0,4,0,3200.0,462.9583333333333
57,36,101,2014,4,87100.0,1200.0,4,0,7950.0,10887.5
58,50,26,2000,10,420000.0,1600.0,3,0,2999.0,19090.909090909092
59,20,35,2002,11,275100.0,2000.0,4,0,5900.0,13755.0
60,4,9,2015,10,180236.0,2000.0,0,1,21500.0,25748.0
61,20,35,2010,3,183000.0,2200.0,0,0,12999.0,15250.0
62,36,101,2011,4,195000.0,1500.0,0,0,5250.0,17727.272727272728
63,53,88,1993,11,311254.0,2000.0,3,0,29000.0,10732.896551724138
64,37,23,2010,4,190000.0,1300.0,0,0,6500.0,15833.333333333334
65,45,100,2016,11,116000.0,1598.0,4,1,10300.0,19333.333333333332
66,53,109,2006,6,250000.0,2000.0,0,0,6900.0,15625.0
67,36,95,2015,3,149000.0,1200.0,4,1,12500.0,21285.714285714286
68,45,113,2016,10,170000.0,2000.0,0,1,17490.0,28333.333333333332
69,50,73,2001,9,250000.0,4700.0,3,1,9990.0,11904.761904761905
70,50,44,2006,11,256000.0,1400.0,0,0,5490.0,16000.0
71,31,101,2002,9,255000.0,2000.0,4,0,3990.0,12750.0
72,9,101,2011,4,190000.0,1400.0,5,1,9150.0,17272.727272727272
73,32,101,2019,3,24000.0,3000.0,4,1,51000.0,8000.0
74,53,88,2002,11,270000.0,1800.0,4,0,2550.0,13500.0
75,53,116,2010,9,235000.0,3000.0,0,1,20950.0,19583.333333333332
76,4,9,2000,10,254604.0,2500.0,4,0,4500.0,11572.90909090909
77,41,80,2009,11,165000.0,1500.0,0,0,4999.0,12692.307692307691
78,50,32,2017,3,115000.0,1800.0,2,1,17999.0,23000.0
79,4,12,1998,10,350000.0,3500.0,4,0,3990.0,14583.333333333334
80,32,48,2012,10,150000.0,2500.0,0,1,14490.0,15000.0
81,3,101,2018,4,31091.0,3000.0,4,1,35500.0,7772.75
82,41,42,2006,4,280000.0,1461.0,0,0,4299.0,17500.0
83,11,34,2012,4,145000.0,1400.0,0,1,6899.0,14500.0
84,3,17,1997,10,29800.0,2400.0,3,0,2750.0,1192.0
85,17,54,2013,10,178000.0,2000.0,2,1,9290.0,19777.777777777777
86,50,92,2014,10,140000.0,800.0,5,1,11200.0,17500.0
87,53,123,1993,10,300000.0,1800.0,4,0,1700.0,10344.827586206897
88,41,101,2017,3,129000.0,1500.0,0,1,10990.0,25800.0
89,28,36,2012,4,193000.0,1800.0,2,1,10950.0,19300.0
90,54,129,2010,9,202000.0,2400.0,0,1,14750.0,16833.333333333332
91,12,101,2013,6,209000.0,1500.0,0,0,5750.0,23222.222222222223
92,21,101,2010,4,145000.0,1400.0,4,0,4750.0,12083.333333333334
93,28,36,2012,4,194000.0,1800.0,2,1,9999.0,19400.0
94,54,130,2008,9,249000.0,2400.0,0,0,11500.0,17785.714285714286
95,21,60,2008,4,142000.0,1100.0,4,0,3499.0,10142.857142857143
96,32,14,2005,4,260000.0,1500.0,3,1,4750.0,15294.117647058823
97,32,31,2002,2,240000.0,2300.0,4,0,3499.0,12000.0
98,23,101,2012,10,120000.0,2200.0,0,1,15999.0,12000.0
99,32,48,2010,10,182000.0,1800.0,4,1,11750.0,15166.666666666666
100,45,85,2005,11,300000.0,2000.0,4,0,4999.0,17647.058823529413
101,37,23,2008,11,310000.0,1300.0,0,0,4850.0,22142.85714285714
102,45,113,2014,10,186000.0,1600.0,0,1,12300.0,23250.0
103,53,101,2011,7,150000.0,2000.0,0,0,12800.0,13636.363636363636
104,32,124,2000,6,258000.0,2200.0,0,1,2999.0,11727.272727272728
105,36,95,2016,3,151000.0,1500.0,0,0,13890.0,25166.666666666668
106,4,9,2018,10,46000.0,2000.0,4,1,27650.0,11500.0
107,41,80,2010,11,257110.0,1500.0,0,0,4999.0,21425.833333333332
108,17,83,2016,10,167000.0,1500.0,0,0,12990.0,27833.333333333332
109,50,32,2018,3,114000.0,1800.0,2,1,16750.0,28500.0
110,36,95,2017,3,157600.0,1500.0,0,0,11990.0,31520.0
111,50,24,2014,11,190000.0,1800.0,2,1,8990.0,23750.0
112,50,32,2017,3,119000.0,1800.0,2,1,18790.0,23800.0
113,38,101,2018,3,145000.0,1500.0,0,1,16790.0,36250.0
114,41,68,2016,3,150200.0,1500.0,0,1,13450.0,25033.333333333332
115,28,84,2015,9,149000.0,2500.0,2,1,21750.0,21285.714285714286
116,53,88,2006,10,216000.0,2000.0,4,1,5350.0,13500.0
117,22,101,2016,3,88000.0,1500.0,0,1,15790.0,14666.666666666666
118,53,88,2007,11,320000.0,1600.0,3,0,5999.0,21333.333333333332
119,21,79,2006,4,298000.0,1500.0,0,0,2999.0,18625.0
120,20,41,2017,4,27138.0,1500.0,4,1,13300.0,5427.6
121,41,68,2016,3,140000.0,1500.0,0,1,12400.0,23333.333333333332
122,45,85,2012,10,166000.0,1600.0,0,1,8990.0,16600.0
123,45,113,2009,10,223000.0,2000.0,0,1,8990.0,17153.846153846152
124,50,44,2006,11,198563.0,1400.0,0,1,5350.0,12410.1875
125,54,101,2000,10,202698.0,2800.0,4,1,3999.0,9213.545454545454
126,27,53,2000,9,230000.0,2000.0,0,0,2750.0,10454.545454545454
127,4,9,2018,10,82000.0,2000.0,0,1,34000.0,20500.0
128,53,88,1995,11,250369.0,1800.0,4,0,2700.0,9272.925925925925
129,25,101,2005,10,250632.0,2000.0,3,0,2690.0,14743.058823529413
130,44,101,1998,1,300000.0,1900.0,0,0,1450.0,12500.0
131,45,50,2012,6,165500.0,1200.0,0,0,5100.0,16550.0
132,34,87,2011,9,248000.0,2000.0,4,1,9900.0,22545.454545454544
133,17,52,2016,11,170000.0,1499.0,0,0,8890.0,28333.333333333332
134,41,80,2008,11,245000.0,1500.0,0,0,3600.0,17500.0
135,20,41,1999,11,290000.0,1500.0,4,0,1800.0,12608.695652173914
136,21,120,2014,3,120000.0,200.0,3,1,12000.0,15000.0
137,41,101,2007,10,211000.0,1400.0,4,0,2900.0,14066.666666666666
138,3,15,2012,10,166700.0,2000.0,4,1,10200.0,16670.0
139,3,101,2016,4,145000.0,1400.0,1,1,16450.0,24166.666666666668
140,28,36,2014,10,81700.0,1800.0,2,1,12450.0,10212.5
